ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
60272,6,0,3,6,65,7,0,1,1,33.76601944,-116.32039167,1,1,2,1,1,3
60273,6,1,1,1,71,5,20,3,2,34.12821389,-117.68738611,1,1,2,1,1,1
60274,6,0,2,4,71,1,15,1,1,34.52706944,-117.31685833,1,1,1,6,1,1
60275,6,0,1,2,71,5,12,1,1,34.73607778,-116.30105556,1,3,1,10,2,2
60276,6,0,2,2,69,7,6,3,3,36.84693889,-121.55027222,1,4,2,2,1,1
60277,6,1,2,3,65,2,18,1,1,33.92583889,-116.85365833,1,1,2,10,1,1
60278,6,0,1,1,59,1,15,1,1,33.66115278,-117.78336944,1,4,1,1,1,1
60279,6,0,1,1,73,3,9,0,7,32.662175,-117.00084167,1,2,1,1,1,1
60280,6,1,2,3,67,5,19,3,2,38.45378889,-121.40915278,1,1,3,10,1,1
60281,6,1,1,1,71,3,21,3,2,34.13633333,-117.42508333,1,1,2,1,1,2
60282,6,0,1,1,65,6,2,1,1,33.99657778,-117.06108056,1,4,2,1,1,1
60283,6,0,1,1,73,4,6,1,1,33.18923333,-117.36104444,1,4,4,1,1,1
60285,6,0,1,1,73,7,15,0,7,33.00807222,-117.22565278,1,4,1,10,1,1
60286,6,0,1,1,93,6,21,0,6,41.60354722,-122.52356389,1,4,2,10,1,1
60287,6,0,1,1,27,2,2,0,6,36.54680278,-118.09825,3,4,2,1,1,1
60288,6,0,1,1,37,4,12,1,1,33.91968333,-118.17891944,1,8,1,2,1,1
60289,6,0,2,6,67,4,16,3,2,38.26635556,-121.30076944,1,1,1,1,1,1
60290,6,0,1,1,7,6,12,0,7,39.52912222,-121.53059444,1,4,1,1,1,1
60291,6,0,2,2,57,2,17,0,4,39.224175,-121.07668611,1,1,3,1,1,2
60292,6,0,1,2,39,7,17,3,2,37.015225,-120.12370278,1,4,1,10,2,2
60293,6,0,2,4,71,7,12,3,3,34.13519167,-116.23752222,1,1,1,1,1,4
60297,6,1,1,1,23,5,19,2,3,40.76625,-124.19156944,1,1,3,10,1,1
60298,6,1,1,1,81,4,21,3,2,37.48397222,-122.18032222,1,1,3,1,1,1
60303,6,0,1,1,107,7,1,4,6,36.25087222,-119.36688889,1,4,2,1,1,1
60305,6,0,1,1,29,1,16,0,5,35.44166944,-119.264975,1,4,1,1,1,1
60306,6,0,1,1,19,1,22,0,5,37.06978611,-119.48841667,1,4,2,1,1,1
60307,6,0,1,2,13,1,10,3,2,37.89106111,-122.14623333,1,3,1,10,2,2
60308,6,1,1,1,65,4,18,3,3,33.73879722,-117.09299722,1,1,2,1,1,2
60309,6,0,1,1,103,7,3,1,1,40.20106389,-122.24215556,1,3,2,1,1,1
60313,6,0,2,2,113,5,10,4,5,38.92541944,-121.947425,2,1,1,1,1,1
60314,6,0,1,2,71,7,5,1,1,34.82626111,-116.664775,1,4,4,1,1,2
60315,6,0,2,2,53,3,17,3,3,36.76736944,-121.76507222,1,1,1,2,1,1
60316,6,1,1,1,65,1,22,3,3,33.747725,-116.910325,1,1,2,1,1,1
60317,6,0,2,3,7,3,0,0,5,39.32635,-121.52532222,1,1,2,1,1,2
60322,6,0,1,1,83,5,1,2,2,34.44084167,-119.77035278,1,4,2,1,1,1
60323,6,0,2,2,73,2,18,1,1,32.83980833,-116.77960278,1,1,2,1,1,1
